Team,Elo,Qualify %,Reach QF %,Reach SF %,Final %,Champion %
Argentina,2120,98.138,61.656,45.804,32.444,22.188
France,2080,96.068,54.77,37.972,24.664,15.076
Brazil,2060,96.664,51.86,34.358,21.414,12.214
England,2040,95.352,47.774,30.618,17.928,9.626
Spain,2035,95.418,47.256,29.514,17.318,9.21
Netherlands,2000,91.096,40.024,23.364,12.146,5.696
Portugal,1995,92.646,39.938,22.762,11.914,5.59
Germany,1965,94.25,36.75,19.406,9.038,3.798
Belgium,1950,93.21,33.448,17.08,7.646,3.04
Italy,1940,88.336,30.378,15.076,6.562,2.504
Croatia,1920,81.786,25.584,12.038,4.848,1.748
Uruguay,1915,85.996,26.364,12.096,4.854,1.612
Colombia,1900,82.41,23.186,10.108,3.79,1.29
Morocco,1890,87.698,23.43,10.064,3.736,1.186
Norway,1880,77.688,19.864,8.164,2.928,0.958
Switzerland,1860,82.954,18.74,7.318,2.438,0.708
Denmark,1855,75.27,16.376,6.044,2.012,0.568
Austria,1830,68.868,13.108,4.67,1.422,0.35
USA,1820,74.748,13.298,4.48,1.272,0.334
Japan,1830,75.196,14.394,4.92,1.394,0.32
Scotland,1810,64.01,10.674,3.492,0.914,0.24
Mexico,1800,87.022,13.394,4.152,1.082,0.23
Serbia,1810,76.862,13.118,4.276,1.128,0.222
Senegal,1815,64.47,11.214,3.64,1.158,0.214
Poland,1790,85.818,12.352,3.658,0.938,0.188
Iran,1770,63.198,8.026,2.092,0.488,0.102
Nigeria,1780,48.994,6.672,2.008,0.436,0.098
South Korea,1775,55.548,7.302,2.112,0.498,0.092
Canada,1760,66.132,7.742,2.118,0.434,0.08
Australia,1740,60.276,6.028,1.476,0.298,0.074
Paraguay,1730,51.788,5.028,1.28,0.256,0.064
Chile,1770,46.254,5.94,1.682,0.364,0.058
Algeria,1760,49.896,5.85,1.526,0.332,0.052
Ghana,1720,45.958,4.074,0.95,0.178,0.038
Ivory Coast,1745,61.85,6.42,1.524,0.31,0.038
Peru,1740,47.46,5.016,1.264,0.27,0.038
Cameroon,1730,51.842,4.852,1.154,0.218,0.036
Egypt,1740,46.9,4.87,1.262,0.25,0.034
South Africa,1700,50.504,3.906,0.82,0.136,0.02
Tunisia,1700,36.168,2.836,0.66,0.122,0.02
Qatar,1660,39.942,2.194,0.388,0.05,0.012
Costa Rica,1680,35.962,2.336,0.458,0.064,0.012
Panama,1680,66.858,4.366,0.796,0.11,0.008
New Zealand,1600,43.012,1.504,0.248,0.026,0.008
Panama,1680,66.858,4.366,0.796,0.11,0.008
Saudi Arabia,1640,53.654,2.532,0.384,0.048,0.004
Jamaica,1660,27.142,1.57,0.256,0.046,0.002
Haiti,1560,21.168,0.586,0.084,0.008,0.0
